,bidder_id,mean_bids_per_auction,unique_devices,unique_ips,unique_countries,auction_frequency,unique_url,unique_merchandise,median_time_diff,day_entropy,shared_ip,top_country_index,top_merchandise_index,outcome
0,001068c415025a009fee375a12cff4fcnht8y,1.0,1,1,1,1,1,1,88052631579,0.0,True,37.0,1.0,0.0
1,00a0517965f18610417ee784a05f494d4dw6e,1.9054054054054055,67,103,16,74,84,1,45526315790,7.139551352398772,True,0.0,5.0,0.0
2,01c5692d487454cdbe731df330bef608f48zz,4.315789473684211,41,44,5,19,28,1,4578947368,6.357552004618087,True,31.0,5.0,0.0
3,02030ec48b7179a7fd9950fdf546e3feekkye,2.5,2,4,1,2,4,1,45526315790,2.321928094887362,True,2.0,2.0,0.0
4,041d869edcadf595b90e3b5248903183pn754,9.640776699029127,19,290,13,103,3,1,9631578948,9.953635808837511,True,2.0,0.0,1.0
5,0c57d8eaa2708b768416ca91dd8daa2cqbl31,1.6666666666666667,8,11,5,15,1,1,285842105263,4.643856189774723,True,2.0,2.0,0.0
6,1395ca662a02245233af951cc7ad8313vk6w0,1.6590909090909092,43,59,20,44,2,1,87842105263,6.189824558880028,True,0.0,0.0,0.0
7,19353c42feb91a216885fe012efdfb11s2iu8,1.75,5,6,1,4,5,1,339210526315,2.8073549220576046,True,0.0,1.0,0.0
8,1b26a52e1e5980c8487bb35cf5027fdfwfnzp,1.0,2,2,1,2,1,1,7916744073710,1.0,True,2.0,2.0,0.0
9,222a0e05442fec0af2d20ebdcafe4b28c2pi4,1.0,3,3,3,4,2,1,948842105263,2.0,True,4.0,5.0,0.0
10,246c55639cf85c682d58cbd2ed6a6563vk2yn,5.421875,222,790,49,192,61,1,6789473684,10.014148205364888,True,0.0,0.0,0.0
11,25f59f9da43b6806aaa125fa61974591sacso,1.25,3,5,1,4,3,1,589337484287,2.321928094887362,True,1.0,3.0,0.0
12,282fe85277f7c07b0ffbc5fed621a02ezp1zr,10.365853658536585,320,1205,65,164,571,1,4684210526,10.727789619260202,True,0.0,0.0,0.0
13,28a0d5539562290a1a2f63d5b7230db090ys3,2.595744680851064,57,91,16,47,4,1,16526315790,6.914343894939951,True,0.0,0.0,0.0
14,29cc13d48af9832e0eb481c8a095fec7mom74,1.0,2,3,1,4,1,1,180736842106,2.0,True,0.0,0.0,0.0
